N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PERCISION,F1,RECALL_WO_O,PERCISION_WO_O,F1_WO_O
Model1,500,1,1,0.8029843503578794,0.7200829039250689,0.7263377242531343,0.6129032258064516,0.6660476796830787,0.6081888961698401
Model2,500,2,1,0.8035909256338711,0.7077165000896832,0.7265358037504059,0.6785714285714286,0.601483130565659,0.6323939732142857
Model3,500,3,1,0.7965546524323669,0.6349040420589093,0.7066019725142988,0.0,0.0,0.0
Model4,500,1,2,0.8378017711998059,0.7952386948264454,0.8034150639451564,0.7583081570996979,0.6985346150624527,0.723646166128646
Model5,500,2,2,0.8658255489506248,0.8510196081521373,0.8436383705200313,0.8138479001135074,0.8043977633474002,0.7954388655149442
Model6,500,3,2,0.8694650006065753,0.8503746250364173,0.8525123893974322,0.7769784172661871,0.771956304352037,0.7666027862736708
Model7,800,1,2,0.8471430304500789,0.8341254622963497,0.8169956810137611,0.7816711590296496,0.7820155327587708,0.7514237023655046
Model8,800,2,2,0.8800194104088317,0.8695526104482483,0.8684955326245877,0.8560157790927022,0.8641509009011439,0.8568935833225211
Model9,800,3,2,0.887055683610336,0.8757143236292515,0.8762665394676529,0.8571428571428571,0.8593858796315369,0.8564422457148654
